Condition,Session,Responses,Subject,Group
Extinction,27,70,Z24,Sal_Sal
Extinction,28,54,Z24,Sal_Sal
Extinction,29,44,Z24,Sal_Sal
Extinction,30,20,Z24,Sal_Sal
Extinction,31,56,Z24,Sal_Sal
Reinstatement,32,58,Z24,Sal_Sal
Baseline,1,533,Z1,Amp_Sal
Baseline,2,693,Z1,Amp_Sal
Baseline,3,585,Z1,Amp_Sal
Baseline,4,644,Z1,Amp_Sal
Baseline,5,766,Z1,Amp_Sal
Baseline,6,528,Z1,Amp_Sal
Baseline,7,506,Z1,Amp_Sal
Baseline,8,779,Z1,Amp_Sal
Baseline,9,519,Z1,Amp_Sal
Baseline,10,782,Z1,Amp_Sal
Baseline,11,422,Z1,Amp_Sal
Baseline,12,355,Z1,Amp_Sal
Baseline,13,531,Z1,Amp_Sal
Baseline,14,614,Z1,Amp_Sal
Treatment,15,1169,Z1,Amp_Sal
Treatment,16,2143,Z1,Amp_Sal
Treatment,17,1608,Z1,Amp_Sal
Treatment,18,2249,Z1,Amp_Sal
Treatment,19,2102,Z1,Amp_Sal
Treatment,20,1318,Z1,Amp_Sal
Treatment,21,1487,Z1,Amp_Sal
Extinction,22,318,Z1,Amp_Sal
Extinction,23,145,Z1,Amp_Sal
Extinction,24,200,Z1,Amp_Sal
Extinction,25,86,Z1,Amp_Sal
Extinction,26,153,Z1,Amp_Sal
Extinction,27,102,Z1,Amp_Sal
Extinction,28,98,Z1,Amp_Sal
Extinction,29,85,Z1,Amp_Sal
Extinction,30,98,Z1,Amp_Sal
Extinction,31,81,Z1,Amp_Sal
Reinstatement,32,1708,Z1,Amp_Sal
Baseline,1,514,Z2,Amp_Sal
Baseline,2,482,Z2,Amp_Sal
Baseline,3,570,Z2,Amp_Sal
Baseline,4,628,Z2,Amp_Sal
Baseline,5,786,Z2,Amp_Sal
Baseline,6,448,Z2,Amp_Sal
Baseline,7,1070,Z2,Amp_Sal
Baseline,8,1236,Z2,Amp_Sal
Baseline,9,1559,Z2,Amp_Sal
Baseline,10,1325,Z2,Amp_Sal
Baseline,11,1196,Z2,Amp_Sal
Baseline,12,1632,Z2,Amp_Sal
Baseline,13,1553,Z2,Amp_Sal
Baseline,14,1954,Z2,Amp_Sal
Treatment,15,1192,Z2,Amp_Sal
Treatment,16,2242,Z2,Amp_Sal
Treatment,17,1687,Z2,Amp_Sal
Treatment,18,1810,Z2,Amp_Sal
Treatment,19,1382,Z2,Amp_Sal
Treatment,20,1484,Z2,Amp_Sal
Treatment,21,1384,Z2,Amp_Sal
Extinction,22,434,Z2,Amp_Sal
Extinction,23,187,Z2,Amp_Sal
Extinction,24,150,Z2,Amp_Sal
Extinction,25,57,Z2,Amp_Sal
Extinction,26,125,Z2,Amp_Sal
Extinction,27,47,Z2,Amp_Sal
Extinction,28,89,Z2,Amp_Sal
Extinction,29,120,Z2,Amp_Sal
Extinction,30,79,Z2,Amp_Sal
Extinction,31,80,Z2,Amp_Sal
Reinstatement,32,603,Z2,Amp_Sal
Baseline,1,925,Z4,Amp_Sal
Baseline,2,1191,Z4,Amp_Sal
Baseline,3,1428,Z4,Amp_Sal
Baseline,4,1421,Z4,Amp_Sal
Baseline,5,1870,Z4,Amp_Sal
Baseline,6,2300,Z4,Amp_Sal
Baseline,7,1905,Z4,Amp_Sal
Baseline,8,2313,Z4,Amp_Sal
Baseline,9,2353,Z4,Amp_Sal
Baseline,10,2365,Z4,Amp_Sal
Baseline,11,2792,Z4,Amp_Sal
Baseline,12,2431,Z4,Amp_Sal
Baseline,13,2900,Z4,Amp_Sal
Baseline,14,2595,Z4,Amp_Sal
Treatment,15,2210,Z4,Amp_Sal
Treatment,16,3119,Z4,Amp_Sal
Treatment,17,1963,Z4,Amp_Sal
Treatment,18,1298,Z4,Amp_Sal
Treatment,19,651,Z4,Amp_Sal
Treatment,20,1014,Z4,Amp_Sal
Treatment,21,1527,Z4,Amp_Sal
Extinction,22,630,Z4,Amp_Sal
Extinction,23,338,Z4,Amp_Sal
Extinction,24,320,Z4,Amp_Sal
Extinction,25,218,Z4,Amp_Sal
Extinction,26,74,Z4,Amp_Sal
Extinction,27,111,Z4,Amp_Sal
Extinction,28,67,Z4,Amp_Sal
Extinction,29,103,Z4,Amp_Sal
Extinction,30,65,Z4,Amp_Sal
Extinction,31,50,Z4,Amp_Sal
Reinstatement,32,1000,Z4,Amp_Sal
Baseline,1,960,Z9,Amp_Sal
Baseline,2,1524,Z9,Amp_Sal
Baseline,3,1778,Z9,Amp_Sal
Baseline,4,2143,Z9,Amp_Sal
Baseline,5,2924,Z9,Amp_Sal
Baseline,6,3004,Z9,Amp_Sal
Baseline,7,3202,Z9,Amp_Sal
Baseline,8,3110,Z9,Amp_Sal
Baseline,9,3173,Z9,Amp_Sal
Baseline,10,3357,Z9,Amp_Sal
Baseline,11,4298,Z9,Amp_Sal
Baseline,12,4354,Z9,Amp_Sal
Baseline,13,4683,Z9,Amp_Sal
Baseline,14,4620,Z9,Amp_Sal
Treatment,15,2894,Z9,Amp_Sal
Treatment,16,2822,Z9,Amp_Sal
