Subject,Session,Group,Reinf,Condition,Rate
4,10,ABA,Lean,Baseline,42.26667
4,11,ABA,Lean,Baseline,40.13334
4,12,ABA,Lean,Baseline,37.06667
4,13,ABA,Lean,Baseline,40.93333
4,14,ABA,Lean,Baseline,43.4
4,15,ABA,Lean,Baseline,48.26667
4,16,ABA,Lean,Baseline,45.86666
4,17,ABA,Lean,Baseline,40
4,18,ABA,Lean,Baseline,46.26667
4,19,ABA,Lean,Baseline,45.53333
4,20,ABA,Lean,Baseline,41.53333
4,21,ABA,Lean,Extinction,64.69388
4,22,ABA,Lean,Extinction,6.133333
4,23,ABA,Lean,Extinction,2.2
4,24,ABA,Lean,Extinction,5.8
4,25,ABA,Lean,Extinction,0.3333333
4,26,ABA,Lean,Extinction,1.333333
4,27,ABA,Lean,Extinction,0
4,28,ABA,Lean,Extinction,0
4,29,ABA,Lean,Renewal,33.6
5,1,ABA,Rich,Baseline,47.73333
5,2,ABA,Rich,Baseline,43.46667
5,3,ABA,Rich,Baseline,43.93333
5,4,ABA,Rich,Baseline,49.26667
5,5,ABA,Rich,Baseline,38.86666
5,6,ABA,Rich,Baseline,53.73333
5,7,ABA,Rich,Baseline,53.26667
5,8,ABA,Rich,Baseline,53.73333
5,9,ABA,Rich,Baseline,45.33333
5,10,ABA,Rich,Baseline,34.06667
5,11,ABA,Rich,Baseline,50.86666
5,12,ABA,Rich,Baseline,46.13334
5,13,ABA,Rich,Baseline,41.93333
5,14,ABA,Rich,Baseline,43.46667
5,15,ABA,Rich,Baseline,47.6
5,16,ABA,Rich,Baseline,45.73333
5,17,ABA,Rich,Baseline,38.4
5,18,ABA,Rich,Baseline,45.2
5,19,ABA,Rich,Baseline,42.73333
5,20,ABA,Rich,Baseline,45.8
5,21,ABA,Rich,Extinction,79.28775
5,22,ABA,Rich,Extinction,37.2
5,23,ABA,Rich,Extinction,7.266667
5,24,ABA,Rich,Extinction,12.6
5,25,ABA,Rich,Extinction,6.333333
5,26,ABA,Rich,Extinction,5.8
5,27,ABA,Rich,Extinction,0.6666667
5,28,ABA,Rich,Extinction,0.4
5,29,ABA,Rich,Renewal,35.86666
5,1,ABA,Lean,Baseline,46.33333
5,2,ABA,Lean,Baseline,46.4
5,3,ABA,Lean,Baseline,43.4
5,4,ABA,Lean,Baseline,53.93333
5,5,ABA,Lean,Baseline,39.73333
5,6,ABA,Lean,Baseline,47.13334
5,7,ABA,Lean,Baseline,50.86666
5,8,ABA,Lean,Baseline,42.33333
5,9,ABA,Lean,Baseline,41.33333
5,10,ABA,Lean,Baseline,35.26667
5,11,ABA,Lean,Baseline,45.4
5,12,ABA,Lean,Baseline,51.6
5,13,ABA,Lean,Baseline,43.8
5,14,ABA,Lean,Baseline,44.86666
5,15,ABA,Lean,Baseline,46.93333
5,16,ABA,Lean,Baseline,45
5,17,ABA,Lean,Baseline,39.06667
5,18,ABA,Lean,Baseline,54.33333
5,19,ABA,Lean,Baseline,53.4
5,20,ABA,Lean,Baseline,56.8
5,21,ABA,Lean,Extinction,64.69388
5,22,ABA,Lean,Extinction,21
5,23,ABA,Lean,Extinction,3.866667
5,24,ABA,Lean,Extinction,3.266667
5,25,ABA,Lean,Extinction,0.4666667
5,26,ABA,Lean,Extinction,4.066667
5,27,ABA,Lean,Extinction,0.1333333
5,28,ABA,Lean,Extinction,0
5,29,ABA,Lean,Renewal,29.46667
6,1,ABA,Rich,Baseline,58.93333
6,2,ABA,Rich,Baseline,64.06667
6,3,ABA,Rich,Baseline,60.13334
6,4,ABA,Rich,Baseline,59.86666
6,5,ABA,Rich,Baseline,61.93333
6,6,ABA,Rich,Baseline,65.13333
6,7,ABA,Rich,Baseline,62.6
6,8,ABA,Rich,Baseline,64.4
6,9,ABA,Rich,Baseline,61.86666
6,10,ABA,Rich,Baseline,65.4
6,11,ABA,Rich,Baseline,67.66666
6,12,ABA,Rich,Baseline,64.6
6,13,ABA,Rich,Baseline,67.26667
6,14,ABA,Rich,Baseline,67.33334
6,15,ABA,Rich,Baseline,65.2
6,16,ABA,Rich,Baseline,62.06667
6,17,ABA,Rich,Baseline,61.86666
6,18,ABA,Rich,Baseline,57.06667
6,19,ABA,Rich,Baseline,63.93333
6,20,ABA,Rich,Baseline,71
6,21,ABA,Rich,Extinction,79.28775
6,22,ABA,Rich,Extinction,10.86667
6,23,ABA,Rich,Extinction,2.733333
6,24,ABA,Rich,Extinction,1.6
6,25,ABA,Rich,Extinction,0.2
6,26,ABA,Rich,Extinction,0.06666667
6,27,ABA,Rich,Extinction,0
6,28,ABA,Rich,Extinction,0.2
6,29,ABA,Rich,Renewal,78.93333
6,1,ABA,Lean,Baseline,86.06667
6,2,ABA,Lean,Baseline,90.66666
6,3,ABA,Lean,Baseline,82.53333
6,4,ABA,Lean,Baseline,80.06667
6,5,ABA,Lean,Baseline,76.13333
6,6,ABA,Lean,Baseline,92.4
6,7,ABA,Lean,Baseline,87.66666
6,8,ABA,Lean,Baseline,77.53333
6,9,ABA,Lean,Baseline,69
6,10,ABA,Lean,Baseline,78.4
6,11,ABA,Lean,Baseline,84.8
6,12,ABA,Lean,Baseline,78.8
6,13,ABA,Lean,Baseline,66.86667
6,14,ABA,Lean,Baseline,65.2
6,15,ABA,Lean,Baseline,78.6
6,16,ABA,Lean,Baseline,72
6,17,ABA,Lean,Baseline,76.13333
6,18,ABA,Lean,Baseline,87
6,19,ABA,Lean,Baseline,77.6
6,20,ABA,Lean,Baseline,71
6,21,ABA,Lean,Extinction,64.69388
6,22,ABA,Lean,Extinction,9.533334
6,23,ABA,Lean,Extinction,11.33333
6,24,ABA,Lean,Extinction,11
6,25,ABA,Lean,Extinction,5.466667
6,26,ABA,Lean,Extinction,0
6,27,ABA,Lean,Extinction,0.1333333
6,28,ABA,Lean,Extinction,0.2
6,29,ABA,Lean,Renewal,76.4
7,1,ABA,Rich,Baseline,111.4667
7,2,ABA,Rich,Baseline,109.5333
7,3,ABA,Rich,Baseline,108
7,4,ABA,Rich,Baseline,114.5333
7,5,ABA,Rich,Baseline,103.8
7,6,ABA,Rich,Baseline,99.93333
7,7,ABA,Rich,Baseline,105.2
7,8,ABA,Rich,Baseline,106.2667
7,9,ABA,Rich,Baseline,110.5333
7,10,ABA,Rich,Baseline,109.3333
7,11,ABA,Rich,Baseline,108.5333
7,12,ABA,Rich,Baseline,90.13333
7,13,ABA,Rich,Baseline,106.8667
7,14,ABA,Rich,Baseline,107.5333
7,15,ABA,Rich,Baseline,102.2667
7,16,ABA,Rich,Baseline,107.6
7,17,ABA,Rich,Baseline,104.5333
7,18,ABA,Rich,Baseline,102.8
7,19,ABA,Rich,Baseline,117.9333
7,20,ABA,Rich,Baseline,95.2
7,21,ABA,Rich,Extinction,79.28775
7,22,ABA,Rich,Extinction,112.3333
7,23,ABA,Rich,Extinction,51.8
7,24,ABA,Rich,Extinction,92.8
7,25,ABA,Rich,Extinction,29.8
7,26,ABA,Rich,Extinction,10.8
7,27,ABA,Rich,Extinction,15.73333
7,28,ABA,Rich,Extinction,11.06667
7,29,ABA,Rich,Renewal,64.46667
7,1,ABA,Lean,Baseline,93.46667
7,2,ABA,Lean,Baseline,102.8667
7,3,ABA,Lean,Baseline,107.5333
7,4,ABA,Lean,Baseline,111.4
7,5,ABA,Lean,Baseline,98
