Condition,Session,Responses,Subject,Group,Junk Col
Treatment,19,2102,Z1,Amp_Sal,junk244
Treatment,20,1318,Z1,Amp_Sal,junk245
Treatment,21,1487,Z1,Amp_Sal,junk246
Extinction,22,318,Z1,Amp_Sal,junk247
Extinction,23,145,Z1,Amp_Sal,junk248
Extinction,24,200,Z1,Amp_Sal,junk249
Extinction,25,86,Z1,Amp_Sal,junk250
Extinction,26,153,Z1,Amp_Sal,junk251
Extinction,27,102,Z1,Amp_Sal,junk252
Extinction,28,98,Z1,Amp_Sal,junk253
Extinction,29,85,Z1,Amp_Sal,junk254
Extinction,30,98,Z1,Amp_Sal,junk255
Extinction,31,81,Z1,Amp_Sal,junk256
Reinstatement,32,1708,Z1,Amp_Sal,junk257
Baseline,1,514,Z2,Amp_Sal,junk258
Baseline,2,482,Z2,Amp_Sal,junk259
Baseline,3,570,Z2,Amp_Sal,junk260
Baseline,4,628,Z2,Amp_Sal,junk261
Baseline,5,786,Z2,Amp_Sal,junk262
Baseline,6,448,Z2,Amp_Sal,junk263
Baseline,7,1070,Z2,Amp_Sal,junk264
Baseline,8,1236,Z2,Amp_Sal,junk265
Baseline,9,1559,Z2,Amp_Sal,junk266
Baseline,10,1325,Z2,Amp_Sal,junk267
Baseline,11,1196,Z2,Amp_Sal,junk268
Baseline,12,1632,Z2,Amp_Sal,junk269
Baseline,13,1553,Z2,Amp_Sal,junk270
Baseline,14,1954,Z2,Amp_Sal,junk271
Treatment,15,1192,Z2,Amp_Sal,junk272
Treatment,16,2242,Z2,Amp_Sal,junk273
Treatment,17,1687,Z2,Amp_Sal,junk274
Treatment,18,1810,Z2,Amp_Sal,junk275
Treatment,19,1382,Z2,Amp_Sal,junk276
Treatment,20,1484,Z2,Amp_Sal,junk277
Treatment,21,1384,Z2,Amp_Sal,junk278
Extinction,22,434,Z2,Amp_Sal,junk279
Extinction,23,187,Z2,Amp_Sal,junk280
Extinction,24,150,Z2,Amp_Sal,junk281
Extinction,25,57,Z2,Amp_Sal,junk282
Extinction,26,125,Z2,Amp_Sal,junk283
Extinction,27,47,Z2,Amp_Sal,junk284
Extinction,28,89,Z2,Amp_Sal,junk285
Extinction,29,120,Z2,Amp_Sal,junk286
Extinction,30,79,Z2,Amp_Sal,junk287
Extinction,31,80,Z2,Amp_Sal,junk288
Reinstatement,32,603,Z2,Amp_Sal,junk289
Baseline,1,925,Z4,Amp_Sal,junk290
Baseline,2,1191,Z4,Amp_Sal,junk291
Baseline,3,1428,Z4,Amp_Sal,junk292
Baseline,4,1421,Z4,Amp_Sal,junk293
Baseline,5,1870,Z4,Amp_Sal,junk294
Baseline,6,2300,Z4,Amp_Sal,junk295
Baseline,7,1905,Z4,Amp_Sal,junk296
Baseline,8,2313,Z4,Amp_Sal,junk297
Baseline,9,2353,Z4,Amp_Sal,junk298
Baseline,10,2365,Z4,Amp_Sal,junk299
Baseline,11,2792,Z4,Amp_Sal,junk300
Baseline,12,2431,Z4,Amp_Sal,junk301
Baseline,13,2900,Z4,Amp_Sal,junk302
Baseline,14,2595,Z4,Amp_Sal,junk303
Treatment,15,2210,Z4,Amp_Sal,junk304
Treatment,16,3119,Z4,Amp_Sal,junk305
Treatment,17,1963,Z4,Amp_Sal,junk306
Treatment,18,1298,Z4,Amp_Sal,junk307
Treatment,19,651,Z4,Amp_Sal,junk308
Treatment,20,1014,Z4,Amp_Sal,junk309
Treatment,21,1527,Z4,Amp_Sal,junk310
Extinction,22,630,Z4,Amp_Sal,junk311
Extinction,23,338,Z4,Amp_Sal,junk312
Extinction,24,320,Z4,Amp_Sal,junk313
Extinction,25,218,Z4,Amp_Sal,junk314
Extinction,26,74,Z4,Amp_Sal,junk315
Extinction,27,111,Z4,Amp_Sal,junk316
Extinction,28,67,Z4,Amp_Sal,junk317
Extinction,29,103,Z4,Amp_Sal,junk318
Extinction,30,65,Z4,Amp_Sal,junk319
Extinction,31,50,Z4,Amp_Sal,junk320
Reinstatement,32,1000,Z4,Amp_Sal,junk321
Baseline,1,960,Z9,Amp_Sal,junk322
Baseline,2,1524,Z9,Amp_Sal,junk323
Baseline,3,1778,Z9,Amp_Sal,junk324
Baseline,4,2143,Z9,Amp_Sal,junk325
Baseline,5,2924,Z9,Amp_Sal,junk326
Baseline,6,3004,Z9,Amp_Sal,junk327
Baseline,7,3202,Z9,Amp_Sal,junk328
Baseline,8,3110,Z9,Amp_Sal,junk329
Baseline,9,3173,Z9,Amp_Sal,junk330
Baseline,10,3357,Z9,Amp_Sal,junk331
Baseline,11,4298,Z9,Amp_Sal,junk332
Baseline,12,4354,Z9,Amp_Sal,junk333
