Subject,Session,Group,Reinf,Condition,Rate
10,16,ABC,Rich,Baseline,91.6
10,17,ABC,Rich,Baseline,101.0667
10,18,ABC,Rich,Baseline,69.66666
10,19,ABC,Rich,Baseline,90.6
10,20,ABC,Rich,Baseline,96.93333
10,21,ABC,Rich,Extinction,92.34
10,22,ABC,Rich,Extinction,12.93333
10,23,ABC,Rich,Extinction,0.4
10,24,ABC,Rich,Extinction,1.4
10,25,ABC,Rich,Extinction,0.8666667
10,26,ABC,Rich,Extinction,0
10,27,ABC,Rich,Extinction,1.6
10,28,ABC,Rich,Renewal,35.8
11,1,ABC,Rich,Baseline,60.86666
11,2,ABC,Rich,Baseline,77.93333
11,3,ABC,Rich,Baseline,79.86667
11,4,ABC,Rich,Baseline,75.06667
11,5,ABC,Rich,Baseline,75.26667
11,6,ABC,Rich,Baseline,77.4
11,7,ABC,Rich,Baseline,85.26667
11,8,ABC,Rich,Baseline,80.06667
11,9,ABC,Rich,Baseline,83.4
11,10,ABC,Rich,Baseline,73.6
11,11,ABC,Rich,Baseline,77.8
11,12,ABC,Rich,Baseline,72.93333
11,13,ABC,Rich,Baseline,76.13333
11,14,ABC,Rich,Baseline,71
11,15,ABC,Rich,Baseline,73.13333
11,16,ABC,Rich,Baseline,78.4
11,17,ABC,Rich,Baseline,77.13333
11,18,ABC,Rich,Baseline,72.53333
11,19,ABC,Rich,Baseline,75.2
11,20,ABC,Rich,Baseline,76.73333
11,21,ABC,Rich,Extinction,75.1
11,22,ABC,Rich,Extinction,68.6
11,23,ABC,Rich,Extinction,66.46667
11,24,ABC,Rich,Extinction,52.13334
11,25,ABC,Rich,Extinction,31.33333
11,26,ABC,Rich,Extinction,23.33333
11,27,ABC,Rich,Extinction,6
11,28,ABC,Rich,Renewal,29.26667
12,1,ABC,Rich,Baseline,56.4
12,2,ABC,Rich,Baseline,58.13334
12,3,ABC,Rich,Baseline,59.53333
12,4,ABC,Rich,Baseline,56.13334
12,5,ABC,Rich,Baseline,53
12,6,ABC,Rich,Baseline,52.33333
12,7,ABC,Rich,Baseline,52.6
12,8,ABC,Rich,Baseline,53.8
12,9,ABC,Rich,Baseline,53.93333
12,10,ABC,Rich,Baseline,46.73333
12,11,ABC,Rich,Baseline,50.33333
12,12,ABC,Rich,Baseline,48.2
12,13,ABC,Rich,Baseline,46.46667
12,14,ABC,Rich,Baseline,52.33333
12,15,ABC,Rich,Baseline,42.8
12,16,ABC,Rich,Baseline,53
12,17,ABC,Rich,Baseline,57.46667
12,18,ABC,Rich,Baseline,60.66667
12,19,ABC,Rich,Baseline,51.8
12,20,ABC,Rich,Baseline,53.2
12,21,ABC,Rich,Extinction,51.62667
12,22,ABC,Rich,Extinction,31.6
12,23,ABC,Rich,Extinction,13.93333
12,24,ABC,Rich,Extinction,28.26667
12,25,ABC,Rich,Extinction,15.26667
12,26,ABC,Rich,Extinction,9.4
12,27,ABC,Rich,Extinction,0.2666667
12,28,ABC,Rich,Renewal,11.86667
13,1,ABC,Rich,Baseline,77.33334
13,2,ABC,Rich,Baseline,81.4
13,3,ABC,Rich,Baseline,79.86667
13,4,ABC,Rich,Baseline,72.93333
13,5,ABC,Rich,Baseline,73.66666
13,6,ABC,Rich,Baseline,76.86667
13,7,ABC,Rich,Baseline,75.4
13,8,ABC,Rich,Baseline,70.93333
13,9,ABC,Rich,Baseline,67.93333
13,10,ABC,Rich,Baseline,65.86667
13,11,ABC,Rich,Baseline,67.33334
13,12,ABC,Rich,Baseline,64.46667
13,13,ABC,Rich,Baseline,67.4
13,14,ABC,Rich,Baseline,71.2
13,15,ABC,Rich,Baseline,75.86667
13,16,ABC,Rich,Baseline,75.66666
13,17,ABC,Rich,Baseline,78.6
13,18,ABC,Rich,Baseline,72.26667
13,19,ABC,Rich,Baseline,66.93333
13,20,ABC,Rich,Baseline,70.53333
13,21,ABC,Rich,Extinction,71.02666
13,22,ABC,Rich,Extinction,14.06667
13,23,ABC,Rich,Extinction,66.86667
13,24,ABC,Rich,Extinction,18
13,25,ABC,Rich,Extinction,10.66667
13,26,ABC,Rich,Extinction,2.2
13,27,ABC,Rich,Extinction,0.4666667
13,28,ABC,Rich,Renewal,57.93333
14,1,ABC,Rich,Baseline,106.4
14,2,ABC,Rich,Baseline,98.86667
14,3,ABC,Rich,Baseline,106
14,4,ABC,Rich,Baseline,103
14,5,ABC,Rich,Baseline,105.3333
14,6,ABC,Rich,Baseline,102.7333
14,7,ABC,Rich,Baseline,100.8
14,8,ABC,Rich,Baseline,102.1333
14,9,ABC,Rich,Baseline,106.2667
14,10,ABC,Rich,Baseline,101.2
14,11,ABC,Rich,Baseline,125.6667
14,12,ABC,Rich,Baseline,107.1333
14,13,ABC,Rich,Baseline,109.8
14,14,ABC,Rich,Baseline,104.7333
14,15,ABC,Rich,Baseline,106
14,16,ABC,Rich,Baseline,112.4
14,17,ABC,Rich,Baseline,110.4
14,18,ABC,Rich,Baseline,109.4
14,19,ABC,Rich,Baseline,117.6
14,20,ABC,Rich,Baseline,116.2
14,21,ABC,Rich,Extinction,111.9333
14,22,ABC,Rich,Extinction,110.8
14,23,ABC,Rich,Extinction,53.93333
14,24,ABC,Rich,Extinction,35.2
14,25,ABC,Rich,Extinction,3.866667
14,26,ABC,Rich,Extinction,35.53333
14,27,ABC,Rich,Extinction,21.13333
14,28,ABC,Rich,Renewal,22.6
15,1,ABC,Rich,Baseline,0
15,2,ABC,Rich,Baseline,103.5333
